subID,noise1Drift_80,noise1Drift_50,signal1Drift_80,signal1Drift_50,noise2Drift_80,noise2Drift_50,signal2Drift_80,signal2Drift_50,B,nondectime
33,0.0,0.0,0.4306056319437311,1.2813179291244263,0.30246011436315867,0.991877048409578,2.6256848597039455,0.0,1.5744021854523407,0.4978639110442672
51,0.0,0.0,0.13085083423841132,0.3528252517713035,0.1605832590619758,0.07141741552868265,0.09818080850321258,0.0,0.8604372037284493,0.24827084581020567
32,0.29976245137163793,0.0,0.8018934750478474,0.25068096018455693,0.573654633898333,1.4605436287943234,0.21128654186709336,0.6828941338175293,1.348093628197173,0.4962670568229369
35,0.7303327509853443,0.3216394990176673,2.47558987871547,2.035498425393929,0.1226520781631315,0.0,1.7511235820615414,0.0,0.9884201457452164,0.4991342250372132
50,0.45325909870903175,0.0,0.8014490881130722,0.5884199896111328,0.0,0.0,3.0,3.0,1.6633909618369023,0.014516511235168922
44,0.36760042929139936,0.0,1.3048969098675836,3.0,0.3189317844093743,1.0156586708981548,3.0,3.0,1.3587730422917224,0.4925926260047798
43,0.031087796890806513,0.028765761196846942,1.0631347112174239,1.4744148010469327,0.14522468479078005,0.912735436928925,1.848987277482059,3.0,1.544711611165868,0.49611847689545463
42,1.0651750652926126,1.098526762257964,1.6792548757995354,2.0355143509597338,0.8011201146100994,0.37190592218289864,3.0,3.0,4.68115947826911,0.1286152628045894
45,0.01805455971762382,0.0,0.47733563844079285,0.7174970700615686,0.0,0.0,0.9989495184231952,1.955131049265129,1.6059771136426235,0.4974824036377856
52,0.0,0.021587152995705846,0.3827364447431213,0.24154184318097718,0.5575752251914101,0.7089437529956638,2.7548332110964613,3.0,1.880736862075152,0.4999809485916692
39,0.2774986856410973,0.2523296850668011,0.7395470215593868,0.33330407778690485,0.0,0.22400176849493775,2.031285004579941,1.347356004353416,1.288045713756631,0.4925285467590146
37,0.1308951690097752,0.0,0.24175980292308585,1.2411507111804085,0.3738968563372895,0.2364467097718571,0.8156846745569252,0.3772211511439177,1.2532874206289084,0.49805922941267955
54,0.15634054272827447,0.05643530879102374,1.203438664515858,2.3689539140800244,0.5813480227288863,1.333760751960432,1.0572049937227301,3.0,1.444813902489945,0.49180980440535177
53,2.1075049758278315,0.9299999327878433,2.115269190687956,3.0,0.0,0.5671870566151166,3.0,3.0,5.2762040519735764,0.053600155076214434
36,0.10543898978575289,0.05352542404160817,1.0814470560319078,1.9906564916985234,0.817605057144312,0.0,3.0,2.7881352235916768,1.2351571886520958,0.4913089350519109
38,0.13590489956592255,0.0,0.8102336743679173,0.7203486495266637,0.0,0.0,3.0,3.0,1.9114865351106136,0.015222454746166902
40,0.40511381031032334,0.0,1.2798586422571985,2.009906164432889,0.0,0.0,3.0,3.0,1.2345576124266966,0.3885306473418091
47,0.0,0.0,1.2293589119042867,2.285196349758866,0.8153124811421841,0.6556110263396686,3.0,3.0,1.5486012361186217,0.4930117349482802
49,0.06923488364529161,0.09969559276589925,0.3600939157961792,1.2411194345614673,0.0,0.0,0.5812809808717225,2.340137891844302,1.120754342440697,0.49546204318442755
48,0.1153682256788759,0.0,0.11913144723719943,0.5091083981964619,0.0,0.0024950564106013557,3.0,3.0,2.350147010376451,0.06745507793380764
46,0.09223047887431088,0.0,0.17833109535924718,0.003942895657694684,0.0,0.2848144863466209,0.8883616961787798,0.4734895364847865,1.1348911857415747,0.4917720781868009
41,0.0,0.0,0.34662895756529016,0.23320388559678462,0.28796226857852397,0.32059007021761016,1.0166580381425612,1.7320285485562943,1.6704535566521792,0.49917043726760657
