subject_id,condition,12drift_contCue,startPoint_only,12drift_contCue_minus_startPoint_only
32,condition_80cue,396.4692731716471,420.2643717871424,-23.795098615495306
33,condition_80cue,320.545042761289,369.56128470677135,-49.01624194548236
35,condition_80cue,189.73916935080726,260.36203222602387,-70.62286287521661
36,condition_80cue,265.06251303075805,328.78512656035946,-63.722613529601404
37,condition_80cue,593.9034292300223,614.547827375469,-20.644398145446644
38,condition_80cue,338.95007392874993,618.4726300254948,-279.5225560967449
39,condition_80cue,553.8794458427276,584.5857947743647,-30.70634893163708
40,condition_80cue,375.2286304347724,473.07682730756494,-97.84819687279253
41,condition_80cue,697.4361183489681,733.4197791223484,-35.98366077338028
42,condition_80cue,289.618957896679,723.6978859679838,-434.0789280713048
43,condition_80cue,440.75580727068774,632.8064281666867,-192.05062089599897
44,condition_80cue,416.4488411849886,548.3649135508648,-131.91607236587618
45,condition_80cue,848.9581850151347,706.2213844747316,142.73680054040312
46,condition_80cue,675.8498284325357,688.2411186709651,-12.391290238429406
47,condition_80cue,259.62921821978347,468.2388380823276,-208.60961986254415
48,condition_80cue,573.999759740729,807.7112506601115,-233.71149091938253
49,condition_80cue,394.2519659190532,418.9193125038093,-24.667346584756103
50,condition_80cue,245.11064439203983,442.0160486638069,-196.90540427176705
51,condition_80cue,540.3489146126869,543.4803845519511,-3.131469939264207
52,condition_80cue,524.9023238748373,675.2537038215161,-150.35137994667878
53,condition_80cue,719.8021232539984,801.2576400874415,-81.45551683344308
54,condition_80cue,185.733682097868,514.5837415681086,-328.8500594702406
55,condition_65cue,740.4680485657889,742.1240386237964,-1.6559900580075464
56,condition_65cue,675.1241612179804,679.493834081161,-4.369672863180654
57,condition_65cue,696.9523017354206,737.3668476753063,-40.41454593988567
58,condition_65cue,808.6225346896467,815.2209740936836,-6.598439404036867
59,condition_65cue,417.6309577768042,491.6953450484168,-74.06438727161259
60,condition_65cue,690.510072284311,724.6817431696026,-34.17167088529152
61,condition_65cue,667.7293226813147,686.854040979289,-19.12471829797437
62,condition_65cue,566.3923512693129,687.1466088796831,-120.75425761037013
63,condition_65cue,643.9309349795861,779.0010933927524,-135.07015841316627
64,condition_65cue,428.4337086852374,476.3836337791261,-47.94992509388874
65,condition_65cue,87.0939396192073,226.57050290155536,-139.47656328234805
66,condition_65cue,664.1655688005588,691.3454576183901,-27.179888817831284
67,condition_65cue,694.451267498277,747.3420529686582,-52.89078547038116
68,condition_65cue,626.4220448574337,686.5345958395766,-60.11255098214292
69,condition_65cue,433.51500282258024,437.9947375948256,-4.479734772245365
70,condition_65cue,784.4678927061262,787.5061565341002,-3.038263827973992
71,condition_65cue,212.38861263411826,585.1943136384311,-372.8057010043129
72,condition_65cue,426.8662601244968,445.58771960356563,-18.721459479068812
