subject_id,condition,12drift_contCue_boundary,12drift_contCue_nondecision,8drifts_congIncong_allConditions_boundary,8drifts_congIncong_allConditions_nondecision,boundary_diff_12drift_contCue_vs_8drifts_congIncong_allConditions,nondecision_diff_12drift_contCue_vs_8drifts_congIncong_allConditions
32,condition_80cue,1.0916513209776877,0.8246160786437832,1.1030638473633365,0.8133312853854799,-0.011412526385648825,0.011284793258303227
33,condition_80cue,0.9505983542686458,1.3746351813573277,0.9585030883629031,1.3660238730095187,-0.007904734094257293,0.008611308347808988
35,condition_80cue,0.6471191087248993,0.869490333649443,0.6417781720099507,0.863438873863793,0.005340936714948619,0.006051459785649915
36,condition_80cue,0.7326394707058661,1.2084522815552547,0.7272514114232482,1.205563072151023,0.005388059282617874,0.002889209404231652
37,condition_80cue,0.9085671853951034,1.0296890529460723,0.9081089222495837,1.0716934576061354,0.0004582631455196662,-0.042004404660063166
38,condition_80cue,5.046901978560147,0.014915900727910936,3.441922930262356,0.03429971576823532,1.6049790482977908,-0.01938381504032438
39,condition_80cue,0.9579075496741947,0.9925334502709685,0.9647603107488694,0.97397088796447,-0.006852761074674696,0.018562562306498553
40,condition_80cue,4.142904007642862,0.013102969492587047,1.4901503881941363,0.3528932225955597,2.652753619448726,-0.3397902531029727
41,condition_80cue,5.308353235817975,0.054727049634825775,5.338251316020002,0.031548063862845255,-0.029898080202026556,0.02317898577198052
42,condition_80cue,2.38359387060075,1.4681931845538396,8.142516078817295,0.11294926792030868,-5.7589222082165445,1.355243916633531
43,condition_80cue,3.873946562352387,0.01813495901061013,1.1425231616035898,1.1385617637042709,2.731423400748797,-1.1204268046936607
44,condition_80cue,3.5829326532787746,0.012820590979612412,0.9265540970800297,1.066435581118631,2.656378556198745,-1.0536149901390186
45,condition_80cue,5.283970045494959,0.016272731461275947,1.2164356483128058,1.3190033929962215,4.067534397182153,-1.3027306615349454
46,condition_80cue,1.0213815371560884,0.6588381703891527,1.0645254505072534,0.6324838804053265,-0.043143913351165075,0.026354289983826162
47,condition_80cue,4.989930603827746,0.013615270798788437,0.9911456491242792,1.3070997137873315,3.998784954703467,-1.293484442988543
48,condition_80cue,3.1875661926328647,0.010573815953350385,2.612557069673763,0.04102431969154963,0.5750091229591017,-0.03045050373819924
49,condition_80cue,0.6856409414094724,1.1587095765319118,0.6697799768828494,1.1613076793220762,0.015860964526623,-0.0025981027901644804
50,condition_80cue,1.2640423251336177,0.16592835405937112,2.53772687001657,0.014424203223115217,-1.2736845448829524,0.1515041508362559
51,condition_80cue,0.8608312646373371,0.25889820503167005,0.8755379465267463,0.2337148090740706,-0.014706681889409268,0.02518339595759944
52,condition_80cue,5.778309507746628,0.01738265309304976,1.2734260827232573,1.494803796096189,4.504883425023371,-1.4774211430031392
53,condition_80cue,1.3816711126809746,1.3956491553814585,5.557254576824553,0.019660299479385412,-4.175583464143578,1.3759888559020732
54,condition_80cue,4.12948278896776,0.011587835267492963,1.1636806123595598,1.083666497185975,2.9658021766082,-1.0720786619184821
55,condition_65cue,1.0620193368697208,0.9977618285322651,1.0270156769528231,0.9929197049678297,0.03500365991689769,0.004842123564435474
56,condition_65cue,1.0106757282218268,0.19935859619830032,1.0205865618218084,0.18816086306293733,-0.009910833599981572,0.011197733135362986
57,condition_65cue,1.196759409973609,0.15605814029499177,1.188000355774987,0.13427879942636067,0.008759054198621996,0.021779340868631092
58,condition_65cue,1.2454479634197995,0.6394524409205269,1.2254761071203735,0.6848866718999218,0.019971856299425994,-0.04543423097939492
59,condition_65cue,0.7802884644637462,0.9903968374573353,0.8079525922129713,0.9968412483921509,-0.02766412774922511,-0.006444410934815625
60,condition_65cue,1.123949831297109,0.20369938081157868,1.1278405271214877,0.20390452009678384,-0.0038906958243787315,-0.00020513928520515812
61,condition_65cue,1.0134114928976938,1.4286219835673677,0.9754902023700716,1.4247737391525894,0.037921290527622276,0.003848244414778268
62,condition_65cue,3.606398949105891,0.013153340188929441,1.1506397059210736,1.030407208794628,2.4557592431848176,-1.0172538686056987
63,condition_65cue,1.5594598011871348,1.4840356584553343,9.885521955313072,0.11645886470752098,-8.326062154125937,1.3675767937478134
64,condition_65cue,0.820118616955325,1.055928762530201,0.8402870565432874,1.057946243731568,-0.02016843958796244,-0.002017481201367133
65,condition_65cue,0.7067088049522088,1.1692520378909443,0.6971422632222035,1.1689878582390612,0.009566541730005262,0.0002641796518831896
66,condition_65cue,1.041885758138422,0.6790972389703764,1.044845642141631,0.7130412712217824,-0.0029598840032090123,-0.033944032251405964
67,condition_65cue,5.161489048468003,0.014745072362077782,1.4742293398162687,1.493577644684231,3.6872597086517347,-1.4788325723221534
68,condition_65cue,1.1830049105443088,0.5213604092982828,1.1690115988329088,0.4754331505454938,0.013993311711399947,0.04592725875278897
69,condition_65cue,0.7497055322787158,0.28462659000821905,0.7826038912121884,0.25552493566996143,-0.03289835893347259,0.02910165433825762
70,condition_65cue,1.0380699201881622,0.013512617519785164,1.0238002742987389,0.013879012885791187,0.014269645889423366,-0.0003663953660060226
71,condition_65cue,3.4136996513968345,0.010780096726810906,1.0989013273048602,0.9699809068864662,2.3147983240919743,-0.9592008101596553
72,condition_65cue,0.8046619890751305,1.0089486816372855,0.7882981526818762,1.0222269446017775,0.01636383639325434,-0.013278262964492082
